"longitude","latitude","year","year_start","year_end","response"
-115.25,32.75,2014,NA,NA,1
-114.75,32.75,2014,NA,NA,1
-16.75,32.75,NA,2012,2016,1
45.75,32.75,2017,NA,NA,1
70.75,32.75,NA,2011,2013,1
71.75,32.75,2011,NA,NA,1
72.75,32.75,NA,2010,2011,1
73.25,32.75,2011,NA,NA,1
73.75,32.75,2016,NA,NA,1
74.75,32.75,NA,2013,2019,1
75.25,32.75,NA,2013,2016,1
75.75,32.75,2013,NA,NA,1
-114.75,32.25,NA,2014,2015,1
-64.75,32.25,NA,2015,2018,1
35.25,32.25,2017,NA,NA,1
72.25,32.25,2011,NA,NA,1
72.75,32.25,NA,2011,2014,1
73.25,32.25,2011,NA,NA,1
73.75,32.25,2011,NA,NA,1
74.25,32.25,NA,2010,2011,1
74.75,32.25,NA,2011,2013,1
75.75,32.25,2012,NA,NA,1
76.25,32.25,2018,NA,NA,1
-116.75,31.75,2017,NA,NA,1
-106.25,31.75,2012,NA,NA,1
70.75,31.75,2011,NA,NA,1
71.25,31.75,2011,NA,NA,1
72.75,31.75,NA,2011,2013,1
73.75,31.75,NA,2008,2016,1
74.25,31.75,NA,2007,2014,1
74.75,31.75,NA,2011,2022,1
75.25,31.75,NA,2012,2013,1
75.75,31.75,NA,2011,2013,1
-110.75,31.25,NA,2009,2018,1
-99.25,31.25,NA,2016,2017,1
36.75,31.25,2015,NA,NA,1
72.25,31.25,NA,2006,2011,1
72.75,31.25,2017,NA,NA,1
73.25,31.25,NA,2011,2016,1
73.75,31.25,2011,NA,NA,1
74.25,31.25,NA,2006,2019,1
75.25,31.25,NA,2005,2010,1
75.75,31.25,NA,2005,2016,1
76.25,31.25,2005,NA,NA,1
76.75,31.25,NA,2018,2019,1
112.25,31.25,NA,2015,2017,1
-115.25,30.75,2018,NA,NA,1
-112.25,30.75,2014,NA,NA,1
-110.25,30.75,NA,2005,2006,1
31.25,30.75,NA,2016,2017,1
34.75,30.75,NA,2017,2019,1
71.25,30.75,2011,NA,NA,1
72.25,30.75,NA,2009,2019,1
72.75,30.75,NA,2008,2011,1
73.75,30.75,2011,NA,NA,1
74.25,30.75,2005,NA,NA,1
74.75,30.75,2013,NA,NA,1
75.25,30.75,2005,NA,NA,1
75.75,30.75,NA,2003,2021,1
76.25,30.75,2005,NA,NA,1
76.25,30.75,NA,2015,2019,1
76.75,30.75,NA,2002,2017,1
78.25,30.75,NA,2017,2018,1
78.75,30.75,2015,NA,NA,1
114.25,30.75,2019,NA,NA,1
120.75,30.75,2019,NA,NA,1
-110.75,30.25,NA,2016,2019,1
-110.25,30.25,NA,2016,2018,1
-91.75,30.25,2015,NA,NA,1
71.25,30.25,NA,2011,2014,1
72.25,30.25,2011,NA,NA,1
73.25,30.25,NA,2011,2013,1
74.75,30.25,NA,2005,2016,1
75.25,30.25,2017,NA,NA,1
75.75,30.25,2013,NA,NA,1
76.25,30.25,NA,2010,2022,1
76.75,30.25,NA,2008,2012,1
77.25,30.25,2008,NA,NA,1
78.25,30.25,NA,2006,2019,1
79.25,30.25,NA,2016,2019,1
112.25,30.25,2015,NA,NA,1
120.25,30.25,NA,2014,2018,1
121.25,30.25,2004,NA,NA,1
-110.75,29.75,2017,NA,NA,1
71.25,29.75,2011,NA,NA,1
71.75,29.75,2011,NA,NA,1
73.25,29.75,2011,NA,NA,1
73.75,29.75,2013,NA,NA,1
75.25,29.75,NA,2011,2013,1
76.75,29.75,2013,NA,NA,1
78.25,29.75,NA,2012,2013,1
106.75,29.75,NA,2015,2019,1
120.75,29.75,2015,NA,NA,1
121.75,29.75,NA,2013,2018,1
122.25,29.75,2019,NA,NA,1
-111.25,29.25,2005,NA,NA,1
-110.75,29.25,NA,2008,2019,1
76.25,29.25,2017,NA,NA,1
77.75,29.25,2010,NA,NA,1
80.75,29.25,NA,2008,2009,1
119.75,29.25,NA,2009,2019,1
120.25,29.25,2009,NA,NA,1
-111.75,28.75,NA,2005,2014,1
-109.75,28.75,2014,NA,NA,1
30.75,28.75,NA,2015,2016,1
76.25,28.75,NA,2015,2018,1
76.75,28.75,NA,2005,2019,1
77.25,28.75,NA,2000,2022,1
77.75,28.75,NA,2003,2016,1
80.25,28.75,NA,2009,2014,1
80.75,28.75,NA,2006,2013,1
115.75,28.75,NA,2016,2019,1
118.75,28.75,NA,2014,2019,1
120.25,28.75,NA,2015,2017,1
121.25,28.75,2016,NA,NA,1
-101.75,28.25,2017,NA,NA,1
-82.25,28.25,2018,NA,NA,1
-81.75,28.25,NA,2014,2016,1
68.75,28.25,2009,NA,NA,1
69.25,28.25,2016,NA,NA,1
69.75,28.25,2013,NA,NA,1
70.25,28.25,NA,2013,2016,1
76.75,28.25,2008,NA,NA,1
77.25,28.25,NA,2011,2016,1
79.25,28.25,NA,2003,2006,1
79.25,28.25,2016,NA,NA,1
80.75,28.25,NA,2003,2006,1
81.25,28.25,2012,NA,NA,1
81.75,28.25,NA,2006,2013,1
83.75,28.25,2017,NA,NA,1
84.75,28.25,NA,2006,2010,1
95.25,28.25,NA,2012,2016,1
112.75,28.25,2019,NA,NA,1
120.75,28.25,NA,2015,2016,1
121.25,28.25,2017,NA,NA,1
-113.25,27.75,NA,2013,2015,1
-110.75,27.75,NA,2008,2015,1
-101.25,27.75,2014,NA,NA,1
-99.75,27.75,NA,2008,2013,1
-82.75,27.75,NA,2009,2016,1
-81.75,27.75,NA,2014,2017,1
30.75,27.75,2015,NA,NA,1
66.25,27.75,NA,2011,2019,1
67.75,27.75,2011,NA,NA,1
68.25,27.75,NA,2013,2016,1
68.75,27.75,NA,2011,2016,1
69.25,27.75,2011,NA,NA,1
69.75,27.75,2011,NA,NA,1
78.25,27.75,NA,2016,2022,1
78.75,27.75,NA,2003,2006,1
78.75,27.75,2019,NA,NA,1
79.75,27.75,NA,2003,2006,1
80.75,27.75,NA,2003,2006,1
81.25,27.75,NA,2003,2006,1
81.75,27.75,NA,2003,2006,1
82.25,27.75,NA,2006,2017,1
83.25,27.75,NA,2006,2019,1
83.75,27.75,NA,2006,2017,1
84.25,27.75,NA,2006,2019,1
84.75,27.75,NA,2006,2019,1
85.25,27.75,NA,2006,2019,1
88.75,27.75,2013,NA,NA,1
90.25,27.75,2012,NA,NA,1
91.25,27.75,2019,NA,NA,1
94.75,27.75,2006,NA,NA,1
112.25,27.75,NA,2016,2019,1
116.25,27.75,NA,2015,2017,1
120.75,27.75,2019,NA,NA,1
-110.25,27.25,2013,NA,NA,1
-109.75,27.25,NA,2005,2014,1
-109.25,27.25,NA,2008,2014,1
-108.75,27.25,2009,NA,NA,1
-101.75,27.25,NA,2015,2017,1
-99.75,27.25,NA,2010,2016,1
-80.25,27.25,NA,2011,2014,1
31.25,27.25,NA,2015,2017,1
33.75,27.25,NA,2017,2018,1
74.25,27.25,NA,2005,2012,1
78.25,27.25,NA,2003,2006,1
80.25,27.25,NA,2003,2006,1
80.75,27.25,NA,2015,2016,1
82.25,27.25,NA,2003,2008,1
84.75,27.25,NA,2004,2019,1
85.25,27.25,NA,2006,2017,1
88.25,27.25,2013,NA,NA,1
89.25,27.25,NA,2012,2019,1
89.75,27.25,2008,NA,NA,1
90.25,27.25,NA,2017,2019,1
118.25,27.25,2014,NA,NA,1
-109.75,26.75,2003,NA,NA,1
-109.75,26.75,NA,2013,2014,1
-109.25,26.75,NA,2005,2008,1
-101.25,26.75,2013,NA,NA,1
-100.25,26.75,NA,2014,2016,1
-99.75,26.75,NA,2015,2018,1
-80.25,26.75,NA,2014,2016,1
-78.25,26.75,2011,NA,NA,1
67.75,26.75,NA,2013,2016,1
68.25,26.75,NA,2011,2016,1
73.75,26.75,2018,NA,NA,1
75.75,26.75,NA,2007,2022,1
80.75,26.75,NA,2003,2022,1
81.25,26.75,NA,2003,2006,1
82.75,26.75,NA,2003,2006,1
83.25,26.75,NA,2003,2014,1
83.75,26.75,NA,2003,2006,1
84.75,26.75,NA,2006,2014,1
85.25,26.75,2016,NA,NA,1
85.75,26.75,NA,2006,2018,1
87.25,26.75,NA,2018,2019,1
87.75,26.75,NA,2006,2017,1
88.25,26.75,NA,2005,2017,1
88.75,26.75,NA,2008,2013,1
89.25,26.75,NA,2004,2012,1
89.75,26.75,2019,NA,NA,1
92.75,26.75,2017,NA,NA,1
117.75,26.75,NA,2015,2017,1
118.25,26.75,2016,NA,NA,1
119.75,26.75,NA,2014,2016,1
-111.25,26.25,NA,2012,2014,1
-100.25,26.25,2015,NA,NA,1
-99.75,26.25,2015,NA,NA,1
-99.25,26.25,2014,NA,NA,1
-98.25,26.25,NA,2010,2017,1
-97.75,26.25,NA,2005,2017,1
-80.25,26.25,2014,NA,NA,1
34.25,26.25,2017,NA,NA,1
63.25,26.25,2019,NA,NA,1
68.25,26.25,NA,2010,2016,1
68.75,26.25,NA,2008,2019,1
73.25,26.25,2022,NA,NA,1
77.75,26.25,2016,NA,NA,1
78.25,26.25,NA,2001,2010,1
79.25,26.25,NA,2003,2006,1
79.75,26.25,NA,2003,2013,1
80.25,26.25,NA,2010,2022,1
81.25,26.25,NA,2003,2014,1
82.25,26.25,NA,2003,2006,1
82.75,26.25,NA,2003,2006,1
83.75,26.25,NA,2003,2006,1
83.75,26.25,NA,2017,2019,1
85.25,26.25,2010,NA,NA,1
87.25,26.25,2007,NA,NA,1
89.25,26.25,2005,NA,NA,1
91.75,26.25,2012,NA,NA,1
119.25,26.25,NA,2012,2017,1
-111.75,25.75,NA,2015,2016,1
-109.25,25.75,2014,NA,NA,1
-108.75,25.75,2009,NA,NA,1
-108.25,25.75,NA,2008,2018,1
-103.25,25.75,NA,2007,2014,1
-102.75,25.75,NA,2012,2014,1
-102.25,25.75,2014,NA,NA,1
-100.75,25.75,2012,NA,NA,1
-100.25,25.75,NA,2002,2013,1
-99.75,25.75,NA,2015,2016,1
-98.25,25.75,NA,2012,2013,1
-97.75,25.75,NA,2002,2017,1
-97.25,25.75,NA,2005,2016,1
-80.75,25.75,NA,2009,2019,1
-80.25,25.75,NA,2012,2014,1
68.25,25.75,2016,NA,NA,1
68.75,25.75,2012,NA,NA,1
69.25,25.75,NA,2006,2013,1
74.25,25.75,NA,2014,2019,1
76.75,25.75,2014,NA,NA,1
79.75,25.75,NA,2003,2006,1
80.75,25.75,NA,2003,2006,1
82.25,25.75,2022,NA,NA,1
84.25,25.75,NA,2003,2006,1
84.75,25.75,NA,2006,2013,1
85.25,25.75,NA,2006,2018,1
85.75,25.75,NA,2012,2019,1
86.25,25.75,NA,2011,2021,1
87.25,25.75,NA,2012,2014,1
93.25,25.75,2016,NA,NA,1
93.75,25.75,NA,2015,2018,1
94.25,25.75,2015,NA,NA,1
97.25,25.75,2019,NA,NA,1
97.75,25.75,2017,NA,NA,1
-107.75,25.25,NA,2006,2018,1
-107.25,25.25,2018,NA,NA,1
-103.25,25.25,2007,NA,NA,1
-100.75,25.25,NA,2012,2014,1
-97.75,25.25,2012,NA,NA,1
-80.75,25.25,2010,NA,NA,1
-77.25,25.25,NA,2011,2019,1
62.25,25.25,NA,2013,2017,1
63.25,25.25,2017,NA,NA,1
67.25,25.25,NA,2009,2017,1
68.25,25.25,NA,2006,2016,1
68.75,25.25,NA,2011,2016,1
69.25,25.25,NA,2013,2016,1
69.75,25.25,NA,2011,2017,1
75.75,25.25,2016,NA,NA,1
76.25,25.25,NA,2006,2007,1
77.25,25.25,2014,NA,NA,1
78.25,25.25,2013,NA,NA,1
81.75,25.25,NA,2010,2016,1
83.25,25.25,NA,2011,2015,1
83.75,25.25,2013,NA,NA,1
85.25,25.25,2011,NA,NA,1
85.75,25.25,NA,2010,2013,1
86.75,25.25,2012,NA,NA,1
88.25,25.25,NA,2005,2012,1
88.75,25.25,2005,NA,NA,1
88.75,25.25,2016,NA,NA,1
89.25,25.25,2014,NA,NA,1
90.25,25.25,2002,NA,NA,1
93.75,25.25,NA,2015,2016,1
97.25,25.25,2009,NA,NA,1
101.75,25.25,NA,2015,2017,1
102.75,25.25,2019,NA,NA,1
117.25,25.25,2013,NA,NA,1
118.75,25.25,2007,NA,NA,1
119.25,25.25,2015,NA,NA,1
121.25,25.25,2009,NA,NA,1
121.75,25.25,NA,2002,2018,1
-107.75,24.75,2006,NA,NA,1
-107.25,24.75,NA,2014,2016,1
-106.75,24.75,2012,NA,NA,1
-104.75,24.75,NA,2015,2018,1
-101.75,24.75,2009,NA,NA,1
-99.75,24.75,2006,NA,NA,1
-98.25,24.75,NA,2012,2017,1
-81.75,24.75,NA,2004,2010,1
-78.25,24.75,2014,NA,NA,1
-77.75,24.75,2017,NA,NA,1
-76.75,24.75,2019,NA,NA,1
35.25,24.75,2017,NA,NA,1
39.25,24.75,2018,NA,NA,1
66.75,24.75,2006,NA,NA,1
66.75,24.75,NA,2017,2018,1
67.25,24.75,NA,2000,2018,1
67.75,24.75,NA,2013,2016,1
68.25,24.75,2013,NA,NA,1
68.75,24.75,2013,NA,NA,1
69.75,24.75,2017,NA,NA,1
70.25,24.75,NA,2016,2017,1
77.75,24.75,2009,NA,NA,1
80.75,24.75,2009,NA,NA,1
88.25,24.75,2002,NA,NA,1
89.75,24.75,2003,NA,NA,1
90.25,24.75,2000,NA,NA,1
93.75,24.75,2016,NA,NA,1
112.75,24.75,NA,2015,2019,1
113.75,24.75,NA,2014,2016,1
117.75,24.75,NA,2015,2016,1
118.25,24.75,NA,2014,2016,1
118.75,24.75,2016,NA,NA,1
121.25,24.75,NA,2009,2015,1
121.75,24.75,NA,2002,2019,1
-110.25,24.25,NA,2003,2014,1
-106.75,24.25,2003,NA,NA,1
-105.75,24.25,2014,NA,NA,1
-104.75,24.25,2018,NA,NA,1
-103.25,24.25,NA,2017,2018,1
-102.75,24.25,2019,NA,NA,1
-102.25,24.25,2020,NA,NA,1
-99.25,24.25,2012,NA,NA,1
-98.75,24.25,NA,2012,2017,1
-77.75,24.25,2016,NA,NA,1
-76.75,24.25,NA,2003,2006,1
32.75,24.25,2017,NA,NA,1
39.75,24.25,2016,NA,NA,1
72.25,24.25,2008,NA,NA,1
82.75,24.25,2014,NA,NA,1
83.25,24.25,NA,2003,2006,1
88.25,24.25,NA,2005,2012,1
88.75,24.25,NA,2000,2002,1
90.25,24.25,NA,2000,2009,1
90.75,24.25,NA,2008,2009,1
93.75,24.25,NA,2011,2012,1
94.25,24.25,NA,2007,2014,1
97.75,24.25,NA,2013,2014,1
118.25,24.25,2016,NA,NA,1
120.75,24.25,NA,2007,2015,1
-106.75,23.75,2013,NA,NA,1
-102.75,23.75,2021,NA,NA,1
-100.25,23.75,2005,NA,NA,1
-99.25,23.75,NA,2007,2018,1
-98.75,23.75,NA,2015,2016,1
-76.25,23.75,2011,NA,NA,1
-75.75,23.75,NA,2015,2016,1
58.75,23.75,NA,2018,2019,1
72.25,23.75,2002,NA,NA,1
72.75,23.75,2008,NA,NA,1
73.25,23.75,2008,NA,NA,1
77.25,23.75,NA,2018,2019,1
85.25,23.75,NA,2011,2016,1
85.75,23.75,NA,2007,2016,1
87.25,23.75,2008,NA,NA,1
87.75,23.75,2005,NA,NA,1
88.25,23.75,2016,NA,NA,1
89.75,23.75,2000,NA,NA,1
90.25,23.75,NA,2000,2019,1
92.75,23.75,2016,NA,NA,1
109.25,23.75,NA,2015,2017,1
109.75,23.75,2019,NA,NA,1
113.25,23.75,NA,2014,2016,1
114.75,23.75,NA,2014,2017,1
116.25,23.75,NA,2014,2016,1
116.75,23.75,2006,NA,NA,1
119.75,23.75,2011,NA,NA,1
120.25,23.75,NA,2007,2015,1
121.25,23.75,NA,2009,2019,1
121.75,23.75,2014,NA,NA,1
-109.75,23.25,2013,NA,NA,1
-106.25,23.25,NA,2005,2015,1
-99.25,23.25,2013,NA,NA,1
-82.25,23.25,NA,2000,2016,1
70.75,23.25,NA,2018,2021,1
72.75,23.25,NA,2002,2021,1
77.25,23.25,NA,2006,2019,1
78.25,23.25,NA,2006,2019,1
79.75,23.25,2012,NA,NA,1
85.25,23.25,NA,2013,2019,1
86.25,23.25,2005,NA,NA,1
87.25,23.25,NA,2005,2008,1
87.75,23.25,2005,NA,NA,1
88.75,23.25,NA,2005,2012,1
89.25,23.25,2002,NA,NA,1
89.25,23.25,2019,NA,NA,1
89.75,23.25,2000,NA,NA,1
94.25,23.25,NA,2004,2009,1
95.75,23.25,2018,NA,NA,1
111.25,23.25,2014,NA,NA,1
111.75,23.25,2014,NA,NA,1
112.25,23.25,NA,2014,2016,1
112.75,23.25,2006,NA,NA,1
113.25,23.25,NA,2002,2016,1
113.75,23.25,NA,2000,2016,1
114.25,23.25,NA,2014,2016,1
116.75,23.25,NA,2006,2016,1
120.25,23.25,NA,2000,2017,1
120.75,23.25,NA,2010,2016,1
-109.75,22.75,NA,2010,2015,1
-105.75,22.75,2014,NA,NA,1
-102.75,22.75,2014,NA,NA,1
-98.75,22.75,NA,2013,2014,1
-98.25,22.75,2013,NA,NA,1
-97.75,22.75,2014,NA,NA,1
-82.75,22.75,NA,2016,2019,1
-82.25,22.75,NA,2001,2002,1
-80.25,22.75,NA,2001,2002,1
-12.25,22.75,2018,NA,NA,1
46.25,22.75,2016,NA,NA,1
71.75,22.75,2011,NA,NA,1
72.25,22.75,NA,2005,2019,1
75.75,22.75,NA,2009,2016,1
78.75,22.75,NA,2005,2010,1
86.25,22.75,NA,2011,2015,1
87.25,22.75,2002,NA,NA,1
87.75,22.75,NA,2008,2012,1
88.25,22.75,NA,2002,2019,1
88.75,22.75,2007,NA,NA,1
89.25,22.75,2018,NA,NA,1
90.25,22.75,NA,2000,2009,1
91.75,22.75,2017,NA,NA,1
92.25,22.75,2018,NA,NA,1
92.75,22.75,NA,2016,2017,1
108.25,22.75,2015,NA,NA,1
112.75,22.75,NA,2009,2010,1
113.25,22.75,NA,2001,2016,1
113.75,22.75,NA,2010,2014,1
114.25,22.75,NA,2010,2016,1
115.25,22.75,2016,NA,NA,1
120.25,22.75,NA,2000,2016,1
120.75,22.75,NA,2000,2016,1
-159.75,22.25,NA,2001,2002,1
-105.25,22.25,NA,2016,2017,1
-104.75,22.25,2015,NA,NA,1
-101.25,22.25,NA,2012,2015,1
-100.75,22.25,NA,2013,2018,1
-100.25,22.25,2012,NA,NA,1
-99.25,22.25,NA,2013,2015,1
-98.25,22.25,2014,NA,NA,1
-97.75,22.25,NA,2004,2017,1
-83.75,22.25,NA,2001,2002,1
-83.75,22.25,2014,NA,NA,1
-80.25,22.25,NA,2001,2002,1
-80.25,22.25,NA,2012,2018,1
-79.75,22.25,NA,2001,2002,1
-79.75,22.25,NA,2012,2016,1
-78.75,22.25,2014,NA,NA,1
39.25,22.25,2009,NA,NA,1
70.75,22.25,NA,2005,2013,1
71.25,22.25,NA,2005,2013,1
73.25,22.25,NA,2003,2021,1
73.75,22.25,2003,NA,NA,1
78.75,22.25,2012,NA,NA,1
85.25,22.25,2014,NA,NA,1
86.75,22.25,2016,NA,NA,1
87.25,22.25,NA,2002,2012,1
87.75,22.25,2005,NA,NA,1
88.25,22.25,NA,2005,2012,1
88.75,22.25,NA,2005,2012,1
91.75,22.25,NA,2000,2019,1
95.25,22.25,2008,NA,NA,1
98.25,22.25,2019,NA,NA,1
101.25,22.25,2015,NA,NA,1
104.25,22.25,2016,NA,NA,1
105.75,22.25,2010,NA,NA,1
111.75,22.25,NA,2001,2006,1
112.25,22.25,2010,NA,NA,1
112.75,22.25,2001,NA,NA,1
112.75,22.25,NA,2013,2014,1
113.75,22.25,NA,2001,2018,1
114.25,22.25,NA,2002,2019,1
120.25,22.25,NA,2000,2003,1
120.75,22.25,NA,2015,2016,1
-105.25,21.75,2017,NA,NA,1
-104.75,21.75,2018,NA,NA,1
-102.75,21.75,NA,2009,2016,1
-102.25,21.75,NA,2013,2016,1
-100.25,21.75,2013,NA,NA,1
-99.75,21.75,2014,NA,NA,1
-99.25,21.75,2013,NA,NA,1
-98.75,21.75,2013,NA,NA,1
-79.25,21.75,NA,2001,2002,1
-79.25,21.75,NA,2014,2019,1
-78.75,21.75,NA,2001,2002,1
-78.75,21.75,NA,2013,2019,1
-78.25,21.75,2018,NA,NA,1
-77.75,21.75,NA,2014,2015,1
-72.25,21.75,2011,NA,NA,1
-71.75,21.75,2016,NA,NA,1
39.25,21.75,NA,2004,2017,1
41.25,21.75,NA,2004,2005,1
71.25,21.75,NA,2009,2013,1
72.75,21.75,2012,NA,NA,1
73.75,21.75,2009,NA,NA,1
75.25,21.75,2017,NA,NA,1
77.75,21.75,2014,NA,NA,1
80.25,21.75,2009,NA,NA,1
83.75,21.75,2013,NA,NA,1
88.25,21.75,2008,NA,NA,1
92.25,21.75,NA,2007,2010,1
95.25,21.75,2006,NA,NA,1
95.75,21.75,2015,NA,NA,1
96.25,21.75,NA,2001,2019,1
100.75,21.75,NA,2013,2016,1
110.75,21.75,NA,2014,2016,1
111.75,21.75,NA,2010,2014,1
-158.25,21.25,NA,2001,2002,1
-157.75,21.25,NA,2011,2012,1
-104.75,21.25,NA,2009,2017,1
-103.25,21.25,2009,NA,NA,1
-102.25,21.25,2009,NA,NA,1
-101.75,21.25,NA,2007,2014,1
-101.25,21.25,NA,2009,2018,1
-99.25,21.25,NA,2006,2013,1
-98.75,21.25,NA,2009,2014,1
-98.25,21.25,NA,2009,2014,1
-97.75,21.25,NA,2012,2014,1
-89.75,21.25,NA,2012,2014,1
-89.25,21.25,2012,NA,NA,1
-88.75,21.25,2014,NA,NA,1
-88.25,21.25,NA,2012,2013,1
-87.25,21.25,2007,NA,NA,1
-86.75,21.25,NA,2002,2014,1
-77.75,21.25,NA,2001,2002,1
-77.75,21.25,2012,NA,NA,1
-77.25,21.25,NA,2001,2002,1
-71.25,21.25,2017,NA,NA,1
39.25,21.25,NA,2004,2017,1
39.75,21.25,NA,2004,2018,1
40.25,21.25,NA,2015,2016,1
71.25,21.25,2006,NA,NA,1
72.75,21.25,NA,2002,2019,1
73.25,21.25,NA,2002,2005,1
79.25,21.25,NA,2006,2021,1
79.75,21.25,2012,NA,NA,1
81.25,21.25,2018,NA,NA,1
81.75,21.25,2011,NA,NA,1
82.25,21.25,NA,2016,2019,1
83.75,21.25,2011,NA,NA,1
84.25,21.25,2011,NA,NA,1
86.75,21.25,NA,2014,2016,1
94.75,21.25,2019,NA,NA,1
104.25,21.25,NA,2001,2002,1
104.75,21.25,2016,NA,NA,1
105.75,21.25,NA,2004,2017,1
106.25,21.25,NA,2012,2013,1
110.25,21.25,NA,2013,2019,1
110.75,21.25,NA,2012,2016,1
-156.75,20.75,NA,2001,2011,1
-156.25,20.75,2011,NA,NA,1
-155.75,20.75,NA,2001,2002,1
-105.25,20.75,NA,2003,2018,1
-104.75,20.75,2018,NA,NA,1
-103.75,20.75,NA,2008,2013,1
-103.25,20.75,NA,2002,2016,1
-101.25,20.75,NA,2009,2013,1
-100.75,20.75,2014,NA,NA,1
-100.25,20.75,NA,2012,2014,1
-99.75,20.75,NA,2015,2016,1
-99.25,20.75,NA,2015,2018,1
-97.25,20.75,NA,2012,2013,1
-89.75,20.75,NA,2001,2014,1
-89.25,20.75,NA,2012,2014,1
-88.75,20.75,NA,2015,2019,1
-88.25,20.75,NA,2002,2014,1
-87.25,20.75,NA,2009,2016,1
-86.75,20.75,NA,2009,2014,1
-77.25,20.75,NA,2001,2002,1
-76.25,20.75,NA,2014,2018,1
-75.75,20.75,NA,2001,2002,1
-75.75,20.75,NA,2014,2018,1
74.75,20.75,NA,2006,2014,1
77.25,20.75,2021,NA,NA,1
77.75,20.75,2014,NA,NA,1
78.75,20.75,NA,2005,2014,1
84.75,20.75,NA,2010,2011,1
85.25,20.75,NA,2005,2019,1
86.25,20.75,NA,2014,2016,1
86.75,20.75,NA,2013,2014,1
95.75,20.75,2007,NA,NA,1
95.75,20.75,2018,NA,NA,1
96.75,20.75,2019,NA,NA,1
101.25,20.75,NA,2007,2010,1
101.75,20.75,2009,NA,NA,1
105.25,20.75,2012,NA,NA,1
105.75,20.75,NA,2004,2015,1
106.25,20.75,NA,2001,2002,1
121.75,20.75,2011,NA,NA,1
-156.25,20.25,NA,2001,2002,1
-104.25,20.25,NA,2009,2018,1
-103.75,20.25,NA,2009,2018,1
-103.25,20.25,2009,NA,NA,1
-102.75,20.25,NA,2012,2013,1
-101.75,20.25,NA,2012,2013,1
-101.25,20.25,2013,NA,NA,1
-99.75,20.25,2013,NA,NA,1
-98.25,20.25,2012,NA,NA,1
-97.75,20.25,NA,2009,2012,1
-97.25,20.25,NA,2011,2015,1
-90.25,20.25,2012,NA,NA,1
-89.75,20.25,NA,2009,2013,1
-89.25,20.25,2001,NA,NA,1
-89.25,20.25,NA,2013,2019,1
-88.75,20.25,NA,2013,2019,1
-87.75,20.25,2009,NA,NA,1
-87.25,20.25,2012,NA,NA,1
-86.75,20.25,NA,2012,2014,1
-77.25,20.25,2012,NA,NA,1
-76.75,20.25,NA,2001,2002,1
-76.25,20.25,2006,NA,NA,1
